Phrase,Cerebro IQ Score,Search_volume,Competing Products,CPR 8-Day Giveaways,Sponsored ASINs,Amazon Recommended,Sponsored,Organic,Amazon Recommended Rank,Sponsored_rank,Organic_rank
camera treat dispenser,706,72,102,8,0,1,0,0,1,-,-
treat camera,911,185,203,8,191,1,0,0,2,-,-
dog camera,20332,20332,1000,344,429,1,1,1,3,5,1
dog camera with phone app,10626,8320,783,160,421,1,1,1,4,2,1
furbo dog camera,90370,12200,135,224,132,1,1,1,5,1,1
dog camera treat dispenser,2353,600,255,16,238,1,1,1,7,1,1
dog camera treat,1322,316,239,8,252,1,1,1,8,1,1
camera dog feeder,-,-,-,-,0,1,0,0,9,-,-
dog remote treat dispenser,60,37,612,8,0,1,0,0,10,-,-
dog treat automatic dispenser,116,116,1000,8,0,1,0,0,11,-,-
dog treat video dispenser,344,134,390,8,0,1,0,0,12,-,-
furbo nanny dog camera,-,-,-,-,0,1,0,0,13,-,-
pet camera treat dispenser,1326,301,227,8,205,1,1,1,14,1,2
dog interactive camera,-,-,502,-,75,1,0,0,15,-,-
treat tossing dog camera,1216,152,125,8,89,1,0,0,16,-,-
furbo dog treat camera,-,-,-,-,0,1,0,0,17,-,-
pet treat camera,1079,329,305,8,246,1,1,1,18,1,1
pet camera feeder,295,169,572,8,183,1,0,0,19,-,-
pet camera monitor,70,209,3000,8,413,1,1,1,20,1,3
wifi pet camera,338,675,2000,16,477,1,1,1,21,9,2
dog camera monitor,74,221,3000,8,350,1,1,1,22,1,2
dog toys christmas,134,267,2000,8,410,1,0,1,23,-,7
auto dog treat dispenser,523,356,681,8,105,1,1,1,24,1,1
dog cam treat,39,32,818,8,196,1,0,0,25,-,-
dog camera with treat,365,72,197,8,224,1,0,0,26,-,-
dog camera with treat dispenser,6400,1664,260,40,274,1,1,1,27,1,1
dog treat furbo,-,-,-,-,0,1,0,0,28,-,-
dog treat wifi dispenser,1143,184,161,8,0,1,0,0,29,-,-
electric dog treat dispenser,427,138,323,8,0,1,0,0,30,-,-
fido dog camera,-,-,5,-,0,1,0,0,31,-,-
furbo dog,1019,55,54,8,91,1,0,0,32,-,-
furbo dog camera treat tossing,4794,302,63,8,13,1,1,1,33,1,1
furbo pet,1264,67,53,8,0,1,0,0,34,-,-
pet camera furbo,335,54,161,8,0,1,0,0,35,-,-
pet treat dispenser with camera,1053,220,209,8,237,1,1,1,36,1,11
automatic dog treat,1098,123,112,8,0,1,0,0,37,-,-
dog alexa,-,-,-,-,0,1,0,0,38,-,-
dog treat dispensing toy,3229,2548,789,56,347,1,1,1,39,1,4
dog home camera,99,298,3000,8,108,1,0,1,40,-,5
dog treat alexa,-,-,-,-,0,1,0,0,41,-,-
dog treat feeder,112,112,1000,8,188,1,0,0,42,-,-
furbo camera,9829,747,76,16,0,1,0,0,43,-,-
furbo new,-,-,-,-,0,1,0,0,44,-,-
interactive pet camera,170,73,430,8,297,1,0,0,45,-,-
pet treat dispenser,675,675,1000,16,340,1,1,1,46,1,1
remote dog treat,795,93,117,8,0,1,0,0,47,-,-
treat dispenser with camera,320,62,194,8,146,1,0,0,48,-,-
treat dispensing dog camera,955,126,132,8,167,1,0,0,49,-,-
treat thrower dog camera,-,-,-,-,0,1,0,0,50,-,-
alexa dog camera,-,-,-,-,0,1,0,0,51,-,-
cat treat camera dispenser,355,54,152,8,140,1,0,0,52,-,-
cat camera with treat dispenser,861,99,115,8,222,1,0,0,53,-,-
dog treat dispenser,2547,2547,1000,56,348,1,1,1,54,1,12
dog video treat,198,188,948,8,0,1,0,0,55,-,-
dog camera toy,244,244,1000,8,238,1,1,1,56,1,1
pet camera amazon,386,386,1000,8,114,1,0,1,57,-,2
pet video treat dispenser,86,24,278,8,45,1,0,0,58,-,-
dog wifi camera,283,215,761,8,0,1,0,0,59,-,-
pet camera,16689,16689,1000,288,444,1,1,1,60,28,9
pet dog camera,-,-,3000,-,0,1,0,0,61,-,-
dog collar camera,2918,1430,490,32,437,1,1,1,62,1,3
dog treats christmas,94,188,2000,8,257,1,0,0,63,-,-
dog interactive toys,318,953,3000,24,441,1,0,1,64,-,120
dog treat dispenser toy,363,358,985,8,322,1,1,1,65,1,18
pet home camera,4,130,30000,8,0,1,0,0,66,-,-
smart dog toys,1352,1352,1000,32,401,1,0,1,67,-,59
2 way dog camera,260,260,1000,8,330,1,1,1,68,1,7
dog automatic ball launcher,2175,411,189,8,260,1,1,1,69,51,26
dog feeder automatic,7213,4328,600,96,357,1,1,1,70,64,27
cat camera collar,5418,1349,249,32,324,1,1,1,71,1,14
dog food dispenser automatic,200,104,519,8,0,1,0,0,72,-,-
alexa dog treat dispenser,-,-,-,-,0,1,0,0,73,-,-
alexa pet camera,-,-,-,-,0,1,0,0,74,-,-
amazon dog camera,21,214,10000,8,0,1,0,0,75,-,-
amazon furbo,-,-,-,-,0,1,0,0,76,-,-
animal treat dispenser,120,23,192,8,0,1,0,0,77,-,-
auto dog treat,168,95,567,8,0,1,0,0,78,-,-
auto pet treat dispenser,707,263,372,8,72,1,1,1,79,2,1
automated dog treat dispenser,21000,42,2,8,0,1,0,0,80,-,-
automatic cat treat dispenser,377,165,438,8,0,1,0,0,81,-,-
automatic dog treat feeder,-,-,-,-,0,1,0,0,82,-,-
automatic pet treat dispenser,157,157,1000,8,0,1,0,0,83,-,-
automatic treat dispenser,152,152,1000,8,0,1,0,0,84,-,-
bark camera,346,72,208,8,0,1,0,0,85,-,-
bluetooth dog treat dispenser,214000,214,1,8,0,1,0,0,86,-,-
dog camara,352,352,1000,8,0,1,0,0,87,-,-
cat video camera,55,110,2000,8,0,1,0,0,88,-,-
cool dog stuff,203,1219,6000,40,427,1,1,1,89,42,8
dig camera,79,393,5000,8,0,1,0,0,90,-,-
dog cam,3086,2552,827,56,427,1,1,1,92,1,3
dog cam treat dispenser,1091,24,22,8,0,1,0,0,93,-,-
dog cam with treat dispenser,-,70,-,8,0,1,0,0,94,-,-
dog camara treat,-,-,-,-,0,1,0,0,95,-,-
dog camer,39,391,10000,8,0,1,0,0,96,-,-
dog camera treat tosser,-,-,-,-,0,1,0,0,97,-,-
dog camera gives treats,-,-,-,-,0,1,0,0,98,-,-
dog camera throws treats,-,-,-,-,0,1,0,0,99,-,-
dog camera with bark alert,-,-,4,-,0,1,0,0,100,-,-
dog camra,-,-,-,-,0,1,0,0,101,-,-
dog canera,24,236,10000,8,0,1,0,0,102,-,-
dog canera treat,-,-,-,-,0,1,0,0,103,-,-
dog communication device,171,101,589,8,69,1,0,0,104,-,-
dog dispenser food,149,149,1000,8,0,1,0,0,105,-,-
dog facetime,21,62,3000,8,0,1,0,0,106,-,-
dog facetime camera two way,-,87,-,8,0,1,0,0,107,-,-
dog feeder with camera,109,76,700,8,216,1,0,0,108,-,-
dog food camera,63,52,819,8,232,1,0,0,109,-,-
dog monitor camera with app,2520,1913,759,40,381,1,1,1,110,2,7
dog monitor with treat,-,39,-,8,0,1,0,0,111,-,-
dog monitor,1852,1852,1000,40,391,1,1,1,112,1,4
dog nanny cam,183,183,1000,8,0,1,0,0,113,-,-
dog snack camera,-,-,126,-,0,1,0,0,114,-,-
dog stuff,1239,49568,40000,872,370,1,0,1,115,-,11
dog surveillance camera,151,151,1000,8,114,1,0,0,116,-,-
dog tech,170,170,1000,8,84,1,0,0,117,-,-
dog technology,239,477,2000,8,309,1,1,1,118,1,5
dog treat app,-,59,-,8,0,1,0,0,119,-,-
dog treat dispenser toy interactive,206,85,413,8,280,1,0,0,120,-,-
dog treat feeder with camera,-,-,375,-,0,1,0,0,121,-,-
dog treat giver,2057,288,140,8,0,1,0,0,122,-,-
dog treat giver with camera,-,-,-,-,0,1,0,0,123,-,-
dog treat launcher,759,145,191,8,160,1,0,0,124,-,-
dog treat machine,157,100,637,8,139,1,0,0,125,-,-
dog treat machine with camera,1275,153,120,8,0,1,0,0,126,-,-
dog treat shooter,888,111,125,8,61,1,0,0,127,-,-
dog treat shooter camera,-,-,-,-,0,1,0,0,128,-,-
dog treat thrower,375,201,536,8,74,1,1,1,129,1,1
dog treat thrower with camera,1309,127,97,8,0,1,0,0,130,-,-
dog treat tosser,1070,260,243,8,129,1,1,1,131,1,1
dog treat video camera,1561,292,187,8,220,1,1,1,132,1,1
dog treat wifi,163,76,466,8,0,1,0,0,133,-,-
dog video,8,254,30000,8,252,1,1,1,134,1,1
dog video camera,280,559,2000,16,488,1,1,1,135,1,13
dog video camera with audio,-,-,-,-,0,1,0,0,136,-,-
dog video chat,440,205,466,8,58,1,0,1,137,-,1
dog video monitor with audio,476,227,477,8,0,1,0,0,138,-,-
dog watcher,288,256,889,8,233,1,1,1,139,2,1
dog watcher camera,522,105,201,8,0,1,0,0,140,-,-
dog watching camera with app,-,-,-,-,0,1,0,0,141,-,-
dog webcam treat dispenser,925,111,120,8,36,1,0,0,142,-,-
doggie cam with treats,-,-,-,-,0,1,0,0,143,-,-
doggie camera with treats,-,-,-,-,0,1,0,0,144,-,-
doggie camera,2532,600,237,16,300,1,1,1,145,1,3
doggie treat camera,-,-,174,-,0,1,0,0,146,-,-
doggie treat dispenser,132,101,764,8,0,1,0,0,147,-,-
doggie video camera,86,35,407,8,351,1,0,0,148,-,-
doggy cam,686,686,1000,16,294,1,1,1,149,1,5
doggy camera,1922,371,193,8,302,1,1,1,150,1,2
doggy camera monitor with speakers,242,166,687,8,114,1,0,0,151,-,-
doggy camera with treat dispenser,-,-,-,-,0,1,0,0,152,-,-
doggy treat camera,-,-,216,-,0,1,0,0,153,-,-
doggy treat dispenser,30,89,3000,8,131,1,0,0,154,-,-
dog accessories,5668,56680,10000,864,396,1,0,1,155,-,41
electronic dog treat dispenser,496,190,383,8,0,1,0,0,157,-,-
ellen degeneres dog,480,84,175,8,0,1,0,0,158,-,-
fargo dog camera,-,-,-,-,0,1,0,0,159,-,-
ferbo camera,-,-,-,-,0,1,0,0,161,-,-
ferbo dog,3974,306,77,8,0,1,0,0,162,-,-
fido cam,-,-,-,-,0,1,0,0,163,-,-
fido camera,2143,75,35,8,0,1,0,0,164,-,-
frobo dog camera,-,-,-,-,0,1,0,0,167,-,-
fur bo,-,-,1000,-,33,1,0,0,172,-,-
fur camera,2,47,20000,8,0,1,0,0,173,-,-
fur dog camera,184,152,828,8,140,1,0,0,174,-,-
fur o,66,263,4000,8,58,1,0,1,175,-,1
furbee dog camera,-,-,-,-,0,1,0,0,178,-,-
furbo 2 way camera,-,-,-,-,0,1,0,0,182,-,-
furbo black friday,-,-,-,-,0,1,0,0,183,-,-
furbo cam,-,-,261,-,0,1,0,0,184,-,-
furbo cat,609,143,235,8,0,1,0,0,185,-,-
furbo cat camera,6429,675,105,16,114,1,1,1,186,1,1
furbo cat camera treat dispenser,1894,197,104,8,98,1,0,0,187,-,-
furbo discount,2360,262,111,8,0,1,0,0,188,-,-
furbo dog cam,828,193,233,8,98,1,0,0,189,-,-
furbo dog camer,-,-,-,-,0,1,0,0,190,-,-
furbo dog camera black friday,-,-,-,-,0,1,0,0,191,-,-
furbo dog camera only,-,-,-,-,0,1,0,0,192,-,-
furbo dog camera treat dispenser,3250,598,184,16,112,1,1,1,193,1,1
furbo dog camera with alexa,-,-,-,-,0,1,0,0,194,-,-
furbo dog nanny,2053,78,38,8,0,1,0,0,195,-,-
furbo dog treat dispenser,-,-,-,-,0,1,0,0,196,-,-
furbo nanny,-,-,-,-,0,1,0,0,197,-,-
furbo pet cam,1770,154,87,8,41,1,0,0,198,-,-
furbo reviews,800,96,120,8,0,1,0,0,199,-,-
furbo snacks,-,-,-,-,0,1,0,0,200,-,-
furbo treat,2245,110,49,8,0,1,0,0,201,-,-
furbo treat camera,-,-,92,-,0,1,0,0,202,-,-
furbo treat dispenser,-,-,96,-,0,1,0,0,203,-,-
furbo treat tossing,-,-,100,-,0,1,0,0,204,-,-
furbo treat tossing pet camera,-,-,-,-,0,1,0,0,205,-,-
furbo treats large dogs,1264,340,269,8,0,1,0,0,206,-,-
furbo treats small dogs,2436,458,188,8,46,1,1,1,207,1,1
furbodog camera,2039,208,102,8,7,1,1,1,209,1,1
furby dog camera,-,-,-,-,0,1,0,0,217,-,-
furdo dogs,-,-,-,-,0,1,0,0,219,-,-
furdog dog camera,1731,206,119,8,0,1,0,0,220,-,-
furgo dog camera,1075,43,40,8,0,1,0,0,222,-,-
furgo pet camera,-,-,-,-,0,1,0,0,223,-,-
hooman dog camera,-,-,-,-,0,1,0,0,228,-,-
ic pooch,2725,327,120,8,98,1,1,1,229,1,7
icpooch wifi treat dispenser,1611,182,113,8,28,1,0,0,231,-,-
pawbo dog camera,-,-,134,-,172,1,0,0,233,-,-
pet cam,4554,4554,1000,104,459,1,1,1,234,1,9
pet cam treat dispenser,1120,168,150,8,145,1,0,0,235,-,-
pet camera bark alert,-,-,-,-,0,1,0,0,236,-,-
pet camera cat,256,256,1000,8,372,1,1,1,237,2,6
pet camera with treat,43,17,396,8,235,1,0,0,238,-,-
pet deals,17,172,10000,8,0,1,0,0,239,-,-
pet food camera,-,-,909,-,149,1,0,0,240,-,-
pet snack launcher,1593,172,108,8,0,1,0,0,241,-,-
pet stuff,192,1921,10000,56,402,1,1,1,242,25,3
pet surveillance camera,323,323,1000,8,448,1,1,1,243,1,4
pet treat,14,278,20000,8,403,1,1,1,244,1,13
pet treat cam,350,107,306,8,125,1,0,0,245,-,-
pet treat feeder,21,41,2000,8,0,1,0,0,246,-,-
pet treat launcher,408,106,260,8,279,1,0,0,247,-,-
pet video,31,219,7000,8,0,1,0,0,248,-,-
pet watching camera,222,158,712,8,0,1,0,0,249,-,-
petcube dog camera,2090,301,144,8,31,1,0,1,251,-,2
puppy camera with treats,-,-,-,-,0,1,0,0,252,-,-
puppy monitor,179,138,770,8,325,1,0,0,253,-,-
puppy treat camera,487,96,197,8,163,1,0,0,254,-,-
puppy treat dispenser,120,120,1000,8,0,1,0,0,255,-,-
puppy video monitor,532,258,485,8,64,1,0,1,256,-,16
remote cat treat dispenser,-,-,14,-,0,1,0,0,257,-,-
remote dog feeder,87,87,1000,8,0,1,0,0,258,-,-
smart dog treat dispenser,1417,136,96,8,0,1,0,0,259,-,-
smart pet treat dispenser,1190,75,63,8,0,1,0,0,260,-,-
smart treat dispenser,485,80,165,8,0,1,0,0,261,-,-
treat cam,374,195,521,8,0,1,0,0,262,-,-
treat dispenser,1923,1923,1000,40,360,1,1,1,263,1,2
treat dispensing,259,259,1000,8,0,1,0,0,264,-,-
treat dispensing pet camera,94,18,191,8,0,1,0,0,265,-,-
treat feeder,90,179,2000,8,0,1,0,0,266,-,-
treat feeder with camera,-,-,-,-,0,1,0,0,267,-,-
treat launcher,908,157,173,8,0,1,0,0,268,-,-
treat shooter,93,93,1000,8,110,1,0,0,269,-,-
treat thrower,707,135,191,8,0,1,0,0,270,-,-
treat throwing camera,-,-,-,-,0,1,0,0,271,-,-
treat throwing dog camera,-,-,-,-,0,1,0,0,272,-,-
treat tosser,518,57,110,8,0,1,0,0,273,-,-
treat tossing,96,67,696,8,35,1,0,0,274,-,-
treat tossing camera,1514,159,105,8,69,1,0,0,275,-,-
turbo dog camera,1947,294,151,8,161,1,1,1,276,1,1
turbo pet camera,-,-,1000,-,0,1,0,0,277,-,-
verbo dog camera,-,-,-,-,0,1,0,0,278,-,-
wifi pet treat dispenser,1131,267,236,8,151,1,1,1,279,1,5
wifi treat dispenser,712,208,292,8,0,1,0,0,280,-,-
wireless dog treat dispenser,397,77,194,8,0,1,0,0,281,-,-
wireless treat dispenser,-,-,276,-,46,1,0,0,282,-,-
2 way pet camera,327,318,972,8,383,1,1,1,283,2,3
2 way pet monitor,35,76,2169,8,0,1,0,0,284,-,-
animal treat camera,115,41,358,8,0,1,0,0,285,-,-
bark alert,911,286,314,8,75,1,0,1,286,-,4
black friday pet deals,31,93,3000,8,76,1,0,0,287,-,-
camara para perros,1357,194,143,8,34,1,0,0,288,-,-
cat camera,8739,3618,414,80,400,1,1,1,289,59,7
cat treat dispenser toy,4013,2552,636,56,283,1,1,1,290,16,8
cool gadgets,1562,15615,10000,360,468,1,0,1,292,-,19
cute dog accessories,38,230,6000,8,0,1,0,0,293,-,-
dog boredom toys,374,747,2000,16,404,1,1,1,294,57,11
dog cam with treats,7350,147,20,8,0,1,0,0,295,-,-
dog camaera,-,-,-,-,0,1,0,0,296,-,-
dog camera with bark detector,-,-,-,-,0,1,0,0,297,-,-
dog entertainment toys interactive,103,103,1000,8,318,1,0,0,298,-,-
dog feeding camera,-,-,-,-,0,1,0,0,299,-,-
dog food dispenser camera,-,-,-,-,0,1,0,0,300,-,-
dog food dispenser with camera,382,131,343,8,0,1,0,0,301,-,-
dog monitor with treat dispenser,-,-,-,-,0,1,0,0,302,-,-
dog monitoring camera,119,88,741,8,0,1,0,0,303,-,-
dog tossing treat,-,-,-,-,0,1,0,0,304,-,-
dog treat toy,510,2548,5000,56,350,1,1,1,305,18,48
dog treat,472,14146,30000,368,312,1,1,1,306,79,13
dog treat camer,-,-,-,-,0,1,0,0,307,-,-
dog treat despensers,-,-,-,-,0,1,0,0,308,-,-
dog treat device,-,-,1000,-,0,1,0,0,309,-,-
dog treat dispensing,388,388,1000,8,84,1,1,1,310,1,4
dog treat dispensor,14,138,10000,8,0,1,0,0,311,-,-
dog treat monitor,102,74,726,8,222,1,0,0,312,-,-
dog treat robot,2282,89,39,8,0,1,0,0,313,-,-
dog video camera 2 way,137,137,1000,8,0,1,0,0,314,-,-
dog video monitor,243,243,1000,8,325,1,1,1,315,1,4
dog watch camera,79,79,1000,8,0,1,0,0,316,-,-
dog web camera,651,222,341,8,0,1,0,0,317,-,-
dog webcam,723,230,318,8,96,1,0,1,318,-,6
doggie cam,3462,810,234,16,274,1,1,1,319,2,6
doggie monitor,32,96,3000,8,0,1,0,0,320,-,-
doggy cam with treat,-,-,-,-,0,1,0,0,321,-,-
durbo dog camera,-,-,-,-,0,1,0,0,322,-,-
electronic treat dispenser,449,136,303,8,50,1,0,0,323,-,-
expensive dog accessories,40,363,9000,8,0,1,0,0,324,-,-
ferbo dog camera,-,-,-,-,0,1,0,0,325,-,-
ferbo wireless camera,-,-,-,-,0,1,0,0,326,-,-
fetch camera,-,-,-,-,0,1,0,0,327,-,-
french bulldog clothes dogs,-,-,-,-,0,1,0,0,328,-,-
fur baby camera,-,-,-,-,0,1,0,0,330,-,-
fur ball camera,-,-,-,-,0,1,0,0,331,-,-
furbi dog camera,-,-,-,-,0,1,0,0,332,-,-
furbo 2,-,-,-,-,0,1,0,0,333,-,-
furbo alexa,-,-,10,-,0,1,0,0,334,-,-
furbo cat treats,-,-,-,-,0,1,0,0,335,-,-
furbo dog camara,-,94,-,8,0,1,0,0,336,-,-
furbo dog canera,-,-,-,-,0,1,0,0,337,-,-
furbo dog monitor,-,-,-,-,0,1,0,0,338,-,-
furdog camera,-,-,-,-,0,1,0,0,340,-,-
indoor dog camera,58,115,2000,8,0,1,0,0,341,-,-
nest pet camera,696,329,473,8,102,1,0,1,343,-,8
pawbo pet camera,776,83,107,8,180,1,0,0,344,-,-
pet accessories dogs,4,186,50000,8,362,1,0,0,345,-,-
pet camara,18,886,50000,32,0,1,0,0,346,-,-
pet camer,320,296,924,8,84,1,0,1,347,-,4
pet chat,186,141,757,8,0,1,0,0,348,-,-
pet cube,1430,1430,1000,32,337,1,1,1,349,3,2
pet dispenser camera,416,92,221,8,136,1,0,0,350,-,-
pet gadgets dogs,-,-,-,-,0,1,0,0,351,-,-
pet monitor,2017,1432,710,32,470,1,1,1,352,1,4
pet snack camera,-,-,234,-,0,1,0,0,353,-,-
pet supplies,108,10792,100000,296,445,1,0,1,354,-,22
pet technology,8,76,10000,8,0,1,0,0,355,-,-
pet treat dispenser dogs,-,-,-,-,0,1,0,0,356,-,-
pet treat feeder camera,-,-,-,-,0,1,0,0,357,-,-
pet treat launcher dogs,-,-,-,-,0,1,0,0,358,-,-
pet treat machine,-,-,-,-,0,1,0,0,359,-,-
pet treat robot,-,-,378,-,0,1,0,0,360,-,-
pet treat thrower,1566,155,99,8,0,1,0,0,361,-,-
pet treat tosser,528,132,250,8,0,1,0,0,362,-,-
pet tutor,953,102,107,8,155,1,0,0,363,-,-
pet video camera,81,243,3000,8,454,1,1,1,364,1,4
pet video monitor,81,161,2000,8,0,1,0,0,365,-,-
pet video monitor with app,702,675,961,16,358,1,1,1,366,1,4
pet watch camera,13,53,4000,8,0,1,0,0,367,-,-
petcam feeder,-,-,-,-,0,1,0,0,368,-,-
petcam wifi video pet monitor,1933,315,163,8,0,1,0,0,369,-,-
petcam with treats,-,-,-,-,0,1,0,0,370,-,-
pup camera,540,157,291,8,0,1,0,0,371,-,-
puppy cam,7593,1921,253,40,424,1,1,1,372,6,6
puppy cam with treats,-,-,-,-,0,1,0,0,373,-,-
puppy camera,6654,1923,289,40,409,1,1,1,374,5,4
puppy outfits,125,376,3000,8,0,1,0,0,375,-,-
remote dog camera,17,34,2000,8,80,1,0,0,376,-,-
remote dog treat dispenser camera,385,42,109,8,0,1,0,0,377,-,-
smart dog feeder with camera,-,-,-,-,0,1,0,0,378,-,-
sog camera,123000,123,1,8,0,1,0,0,379,-,-
treat dispensing camera,1691,208,123,8,147,1,1,1,380,1,1
treat dispensing toys,243,189,778,8,265,1,0,0,381,-,-
treat tosser smart pet feeder,-,-,-,-,0,1,0,0,382,-,-
turbo dog,243,486,2000,8,0,1,0,0,383,-,-
turbo dog treat,-,-,156,-,0,1,0,0,384,-,-
unique dog toys,177,177,1000,8,406,1,0,0,385,-,-
