Phrase,Cerebro IQ Score,Search_volume,Competing Products,CPR 8-Day Giveaways,Sponsored ASINs,Amazon Recommended,Sponsored,Organic,Amazon Recommended Rank,Sponsored_rank,Organic_rank
treats for petcube bites,-,-,419,-,162,0,1,1,-,1,4
pet camera treat,1345,382,284,8,228,0,1,1,-,1,3
petcube accessories,1687,140,83,8,94,0,1,1,-,1,4
petcube bites,11000,209,19,8,16,0,1,1,-,1,1
petcube treat,1337,139,104,8,145,1,1,1,186,1,1
pet cube treats,25,49,2000,8,192,0,1,1,-,1,15
dog treats dispenser,76,151,2000,8,84,0,1,1,-,1,18
cat treats for petcube,-,-,49,-,88,0,1,1,-,1,6
treats for petcube,408,225,552,8,317,0,1,1,-,1,5
petcube bites pet camera,294,25,85,8,66,0,1,1,-,1,1
petcube pet camera,-,-,146,-,78,1,1,1,240,1,1
pet camera treats,509,113,222,8,173,0,1,1,-,1,9
pet cube bite,-,-,1000,-,212,0,1,1,-,1,1
wopet bag,-,-,188,-,52,0,1,1,-,1,75
petcube bite,221,95,430,8,107,1,1,1,180,1,1
monitors 1080p,28,279,10000,8,170,0,1,0,-,1,-
cube pet camera,48,38,799,8,225,0,1,1,-,1,1
petcube treats,349,210,602,8,279,0,1,1,-,1,16
pet cube bites,119,119,1000,8,176,1,1,1,296,1,1
petcubes bites,455,223,490,8,219,0,1,1,-,1,1
cat rooms,9,471,50000,16,84,0,1,0,-,1,-
the pet cube,6,28,5000,8,283,0,1,1,-,1,1
pet cubes,25,172,7000,8,263,0,1,1,-,1,2
pet camera two way audio treat,-,-,158,-,212,0,1,0,-,1,-
petcube bites camera,4422,199,45,8,72,0,1,1,-,1,1
petcube treat dispenser,2525,308,122,8,60,1,1,1,244,1,1
pet cubes bites,54,54,1000,8,242,0,1,1,-,1,1
petcube treats dog,234,118,504,8,254,0,1,1,-,1,4
petcube bites pet camera with treat dispenser,1667,185,111,8,54,0,1,1,-,1,1
petcubes bites camera,295,38,129,8,79,0,1,1,-,1,1
petcube bites 2,37400,561,15,16,6,0,1,1,-,1,1
furbo cat camera treat dispenser,1894,197,104,8,98,1,1,1,301,1,8
petcube dog camera,2090,301,144,8,31,1,1,1,246,1,1
per cube bites,-,-,508,-,207,0,1,1,-,2,1
dog treat dipenser,-,-,716,-,133,0,1,1,-,2,23
pet camera and treat dispenser,1249,266,213,8,220,0,1,1,-,2,4
pet cam with audio,243,243,1000,8,359,0,1,1,-,2,95
dog treat dispenser,2547,2547,1000,56,348,1,1,1,23,2,8
petcube camera,2852,251,88,8,106,1,1,1,93,2,1
petcube play,8600,301,35,8,4,1,1,1,295,2,2
pet cube,1430,1430,1000,32,337,1,1,1,291,2,1
petcube 1080p,1618,165,102,8,85,0,1,1,-,2,2
petcube hd,305,73,239,8,143,0,1,1,-,2,4
petcube interactive,-,-,60,-,84,0,1,1,-,2,5
petcube laser,310,39,126,8,68,1,1,1,442,2,2
pet cube camera,292,189,648,8,200,1,1,1,293,2,1
dog treat camera,2795,886,317,16,330,1,1,1,55,2,7
dog treat despenser,136,93,682,8,134,0,1,1,-,2,135
dog treat dispenser with camera,1084,220,203,8,249,0,1,1,-,2,6
dog treat dispenser camera,986,279,283,8,192,0,1,1,-,2,16
pet treat dispenser,675,675,1000,16,340,1,1,1,51,2,11
pet treat camera,1079,329,305,8,246,1,1,1,78,2,12
wifi dog treat dispenser,1000,149,149,8,168,1,1,1,312,2,13
petcube play camera,441,30,68,8,140,0,1,1,-,2,2
pet cube treat dispenser,158,102,647,8,201,1,1,1,416,2,1
furbo dog camera treat dispenser,3250,598,184,16,112,1,1,1,294,2,13
dog treat camera dispenser,4856,675,139,16,185,0,1,1,-,2,7
petcabe portable dog paw cleaner,1842,140,76,8,78,0,1,0,-,2,-
pet treat dispenser with camera,1053,220,209,8,237,0,1,1,-,2,15
pet treat camera dispenser,482,107,222,8,142,0,1,1,-,2,20
wifi pet camera treat,1726,328,190,8,102,0,1,1,-,2,2
things for dogs,96,1928,20000,56,423,0,1,0,-,2,-
dog needs,9,747,80000,24,360,0,1,0,-,2,-
dog camera treat dispenser,2353,600,255,16,238,1,1,1,60,2,7
dog camera treat dispenser furbo,-,-,232,-,72,0,1,1,-,2,8
petcube play pet camera,-,-,64,-,93,0,1,1,-,2,1
pet camera treat dispenser,1326,301,227,8,205,1,1,1,70,2,10
pet camera with treat dispenser,4506,1221,271,24,236,1,1,1,37,2,5
cat camera collar,5418,1349,249,32,324,0,1,0,-,2,-
dog camera and treat dispenser,945,242,256,8,237,0,1,1,-,2,11
pet camera and treat,236,118,501,8,78,0,1,1,-,2,7
dog camera with treat dispenser,6400,1664,260,40,274,1,1,1,36,2,6
petzi pet,-,-,493,-,80,0,1,0,-,2,-
furbo dog,591,55,93,8,91,0,1,1,-,2,17
furbo wifi dog cam,-,-,217,-,190,0,1,1,-,2,9
petcube cat,546,83,152,8,106,1,1,1,247,2,2
cat camera monitor,2328,810,348,16,376,1,1,1,99,2,60
treat tossing dog camera,1216,152,125,8,89,1,1,1,367,2,17
way dog,2,92,60000,8,79,0,1,0,-,2,-
dog room,9,561,60000,16,428,1,1,1,58,2,55
pet robot,477,953,2000,24,379,0,1,0,-,2,-
pet nanny cam,85,79,927,8,290,0,1,0,-,2,-
laser camera,52,309,6000,8,84,0,1,1,-,2,159
dog treat with camera,124,69,555,8,224,1,1,1,449,2,10
dog will bite,13,92,7000,8,299,0,1,0,-,2,-
scale for dogs,73,292,4000,8,68,0,1,0,-,2,-
dog alert,69,412,6000,16,132,0,1,1,-,2,227
furbo for dogs,3010,301,100,8,76,0,1,1,-,2,10
smart dog camera,118,235,2000,8,334,0,1,1,-,2,60
camera for dog,826,451,546,8,416,0,1,1,-,2,86
treat dispensing dog camera,913,126,138,8,167,1,1,1,657,2,9
petcube bites treat camera,1700,85,50,8,21,0,1,1,-,2,1
dog scales,187,747,4000,16,157,0,1,0,-,2,-
pet cube cat,-,-,1000,-,81,1,1,1,439,2,5
puppy treat camera,249,96,386,8,163,1,1,1,490,2,39
treat camera dispenser,-,-,194,-,156,0,1,1,-,2,5
petcube interactive wifi pet camera,1953,125,64,8,149,0,1,1,-,2,2
wifi dog treat dispense,-,-,189,-,60,0,1,1,-,2,24
dog treat dispenser and camera,1837,450,245,8,218,0,1,1,-,2,6
petcube camara,207,36,174,8,72,0,1,0,-,2,-
motion dog,4,44,10000,8,72,0,1,1,-,2,254
petcube play interactive,-,-,59,-,61,0,1,0,-,2,-
petcube bites pet camera treat dispenser,3167,133,42,8,32,0,1,1,-,2,1
petcube cam,-,-,184,-,105,0,1,1,-,2,1
petcube play smart,-,-,68,-,62,0,1,1,-,2,3
petcube 2,1576,197,125,8,121,1,1,1,166,2,1
petcube play 2,5146,211,41,8,6,1,1,1,305,2,2
petcube bites wi-fi pet camera,-,-,50,-,21,0,1,1,-,2,1
fur bo,-,-,1000,-,33,1,1,1,484,2,80
furbo treats refill,-,-,450,-,78,0,1,0,-,2,-
pet cam,4554,4554,1000,104,459,1,1,1,297,3,51
furbo dog camera,90370,12200,135,224,132,1,1,1,292,3,11
dog cameras with phone app,747,747,1000,16,355,0,1,1,-,3,102
