ASIN,Name,20171,20172,2018,,2019 Q1,,2019 Q2,,July,Julym,August,Augustm,September,Septemberm,October,Octoberm,November,Novemberm,December,Decemberm,January,Januarym,February,Februarym,March,Marchm
ASIN,Item Name,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS,Quantity Shipped,GMS
B082WXCFY3,"?1TB Hard Drive Pre-installed?SMONET 1080P Wireless Security Camera System,8-Channel Full HD Wireless Home Camera System, 4pcs 2.0MP Indoor Outdoor Surveillance Cameras,P2P,Super Night Vision,Free APP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,242.31,7,1506.75,16,3491.4,27,5697.84
B07JQ1YQ87,"?2019 New 8CH Expandable?OHWOAI Security Camera System Wireless, 8CH 1080P NVR, 4Pcs 720P HD Outdoor/ Indoor IP Cameras,Home CCTV Surveillance System (No Hard Drive)Waterproof,Remote Access,Plug&Play,",0,0,32,4183.37,165,24573.75,172,24693.19,29,4375.87,30,4319.33,24,3329.07,8,899.86,1,129.99,3,296.37,0,0,0,0,0,0
B07JQFL9FC,"?2020 New 8CH Expandable?OHWOAI Security Camera System Wireless, 8CH 1080P NVR, 4Pcs 1080P HD Outdoor/ Indoor IP Cameras,Home CCTV Surveillance System (No Hard Drive)Waterproof,Remote Access,Plug&Play",0,0,8,1610.03,14,3083.13,29,5952.45,2,365.98,12,2155.44,68,9774.2,121,18024.87,128,18671.71,170,25023.85,65,10082.87,36,5569.26,26,3847.41
B07QT7G6V5,"?2020 New? POE Security Camera Systems,Wandwoo 8 Channel Surveillance Systems with 1TB Hard Drive, 4pcs 5MP(2560 TVL) Indoor Outdoor IP Camera,Free App for Remote View,Clear Night Vision",0,0,0,0,0,0,11,4196.39,18,6829.93,11,4013.55,8,2796.87,9,3115.51,3,925.02,3,1033.69,0,0,2,595.66,11,2998.93
B07JPCW3NS,"?2020 Newest?OHWOAI Security Camera System Wireless, 8CH 1080P NVR,8Pcs 960P HD Outdoor/ Indoor IP Cameras,Home CCTV Surveillance System(1TB Hard Drive)Waterproof,Remote Access,Plug&Play,Night Vision.",0,0,21,6289.09,29,9210.99,123,38821.11,82,25357.79,86,26055.15,51,16302.58,53,16757.1,62,18241.68,80,22957.89,32,9214.18,13,3705.54,10,2867.88
B082N95DGK,"?2020 Update? 10 inch Screen HD 1080P 8-Channel Outdoor Wireless Security Camera System,4pcs 1080P Wireless IP67 Weatherproof IP Cameras,70FT Night Vision,P2P,App, 1TB Hard Drive Pre-Installed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,7332.07,239,54662.82,296,73578.94,155,41599.88
B0796T7FVB,"?2020 Update? HD 1080P 8-Channel OOSSXX Wireless Security Camera System,4Pcs 720P(1.0 Megapixel) Wireless Indoor/Outdoor IR Bullet IP Cameras,P2P,App, HDMI Cord & 1TB HDD Pre-Install",0,0,1273,258991.39,1063,222182.51,829,176001.43,285,59199.72,265,55365.41,193,39543.74,152,31409.38,150,28069.86,149,25937.01,34,5412.6,15,2489.97,16,2576.94
B07TQL2JR5,"?2020 Update? OOSSXX 4-Channel HD 1080P Wireless Mini Security Camera System,2Pcs 1080P Wireless Indoor/Outdoor IR Bullet IP Cameras,P2P,App,No HDD",0,0,0,0,0,0,0,0,0,0,0,0,1,99.99,1,99.99,2,174.48,3,266.91,1,78.77,5,403.32,1,78.93
B07H94G57C,"?2020 Update? OOSSXX HD 1080P 8-Channel Wireless Security Camera System,4 pcs 720P 1.0 Megapixel Wireless Weatherproof Bullet IP Cameras,Plug Play,70FT Night Vision,P2P,App, No Hard Drive",0,0,47,6513.7,332,48543.97,1220,190294.29,449,72210.25,238,38158.91,205,32747.22,245,37343.89,218,32851.48,206,31508.28,129,18974.68,136,19555.77,132,18325.26
B07GSVM97D,"?2TB Hard Drive Pre-installed?SMONET All in One with 12? Monitor 1080P Security Camera System Wireless,8-Channel Outdoor Home Camera System,4pcs 2.0MP(1080P) Waterproof Wireless IP Camera,P2P,Free APP",0,0,76,34741.68,49,19416.68,128,48481.44,55,19303.93,119,39055.42,80,26147.4,83,27052.56,88,26369.09,118,34714.35,49,15023.78,65,19649.2,77,22374.22
B0771QWRV2,"?3TB HDD Pre-Install ? 8 Channel HD 1080P Wireless IP Camera System/IP Security Camera System 8Pcs 2.0 Megapixel 1080P Wireless IR Bullet Camera,Indoor/Outdoor,WiFi 8CH Home Security System HisEEu",4,1706.12,280,121004.45,315,131229.96,796,331529.3,384,148372.78,298,123857.2,278,115354.46,247,102290.49,299,116539.62,303,120814.23,345,130552.9,257,96573.66,128,48582.71
